date,sales,day,day_num
2013-07-22,22060,Monday,0
2013-09-02,18572,Monday,0
2017-05-01,26290,Monday,0
2016-05-02,25303,Monday,0
2014-09-01,20772,Monday,0
2016-04-25,23614,Monday,0
2013-08-26,19441,Monday,0
2017-05-08,26365,Monday,0
2014-09-08,20996,Monday,0
2016-04-18,23660,Monday,0
2014-09-15,21119,Monday,0
2013-08-19,19336,Monday,0
2017-05-15,26191,Monday,0
2016-04-11,23813,Monday,0
2014-09-22,21022,Monday,0
2013-08-12,19570,Monday,0
2014-08-25,22324,Monday,0
2016-05-09,25444,Monday,0
2017-04-24,24503,Monday,0
2013-09-09,18130,Monday,0
2016-06-13,27062,Monday,0
2014-07-21,25612,Monday,0
2013-09-30,18209,Monday,0
2017-04-03,24714,Monday,0
2016-06-06,27517,Monday,0
2014-07-28,25322,Monday,0
2016-05-30,25008,Monday,0
2017-05-22,26354,Monday,0
2013-09-23,18259,Monday,0
2014-08-04,22345,Monday,0
2016-05-23,25452,Monday,0
2014-08-11,22391,Monday,0
2013-09-16,18425,Monday,0
2017-04-17,24703,Monday,0
2016-05-16,25588,Monday,0
2014-08-18,22459,Monday,0
2017-04-10,24648,Monday,0
2016-04-04,23543,Monday,0
2014-09-29,20932,Monday,0
2013-08-05,19634,Monday,0
2014-11-10,20722,Monday,0
2016-02-15,16911,Monday,0
2013-07-01,21997,Monday,0
2017-07-03,29775,Monday,0
2014-11-17,20880,Monday,0
2016-02-08,17031,Monday,0
2014-11-24,21103,Monday,0
2016-02-22,17037,Monday,0
2013-06-24,20904,Monday,0
2016-02-01,17009,Monday,0
2014-12-01,14986,Monday,0
2013-06-17,20532,Monday,0
2017-07-17,29959,Monday,0
2016-01-25,15271,Monday,0
2014-12-08,15057,Monday,0
2013-06-10,20799,Monday,0
2017-07-10,29723,Monday,0
2017-03-27,21013,Monday,0
2017-06-26,28187,Monday,0
2014-11-03,21085,Monday,0
2017-05-29,26194,Monday,0
2016-03-28,20448,Monday,0
2014-10-06,19523,Monday,0
2016-03-21,20379,Monday,0
2013-07-29,21987,Monday,0
2017-06-05,27794,Monday,0
2014-10-13,19517,Monday,0
2013-07-08,22288,Monday,0
2016-03-14,20454,Monday,0
2014-02-10,14817,Monday,0
2017-06-12,27827,Monday,0
2016-03-07,20090,Monday,0
2014-10-27,19401,Monday,0
2013-07-15,22020,Monday,0
2017-06-19,28173,Monday,0
2016-02-29,16916,Monday,0
2014-10-20,19415,Monday,0
2013-10-07,17034,Monday,0
2014-07-14,25248,Monday,0
2016-06-20,27024,Monday,0
2014-01-06,13438,Monday,0
2016-12-26,16831,Monday,0
2016-10-03,22186,Monday,0
2014-03-31,17981,Monday,0
2013-12-30,12958,Monday,0
2017-01-02,15772,Monday,0
2016-09-26,23542,Monday,0
2014-03-24,17895,Monday,0
2014-04-07,20951,Monday,0
2017-01-09,15797,Monday,0
2016-09-19,23860,Monday,0
2014-04-14,20991,Monday,0
2016-09-12,23494,Monday,0
2013-12-16,13088,Monday,0
2017-01-16,15743,Monday,0
2014-04-21,20859,Monday,0
2013-12-23,13038,Monday,0
2016-09-05,23581,Monday,0
2016-10-10,21849,Monday,0
2016-12-19,16832,Monday,0
2016-11-14,23661,Monday,0
2014-02-17,14814,Monday,0
2014-02-03,15055,Monday,0
2016-11-28,23621,Monday,0
2016-11-07,23294,Monday,0
2014-02-24,15126,Monday,0
2014-01-27,13469,Monday,0
2014-03-17,17885,Monday,0
2016-12-05,16887,Monday,0
2014-03-03,17983,Monday,0
2014-01-20,13520,Monday,0
2016-12-12,16996,Monday,0
2016-10-24,22043,Monday,0
2014-03-10,17878,Monday,0
2016-10-17,21996,Monday,0
2014-01-13,13408,Monday,0
2016-10-31,21976,Monday,0
2017-07-24,30041,Monday,0
2014-04-28,20836,Monday,0
2017-01-23,15697,Monday,0
2013-11-04,18215,Monday,0
2017-02-27,17550,Monday,0
2016-07-18,28756,Monday,0
2014-06-16,24053,Monday,0
2013-10-28,16782,Monday,0
2017-03-06,21032,Monday,0
2016-07-11,28907,Monday,0
2014-06-09,23951,Monday,0
2014-06-23,24196,Monday,0
2013-10-21,16765,Monday,0
2017-03-13,21193,Monday,0
2014-06-30,23745,Monday,0
2016-06-27,26884,Monday,0
2014-07-07,25578,Monday,0
2013-10-14,16791,Monday,0
2017-03-20,20895,Monday,0
2016-07-04,28792,Monday,0
2013-12-09,12942,Monday,0
2016-07-25,28765,Monday,0
2013-11-11,18375,Monday,0
2016-08-29,25368,Monday,0
2014-05-05,22378,Monday,0
2013-12-02,13141,Monday,0
2017-01-30,15839,Monday,0
2016-08-22,25404,Monday,0
2014-05-12,22696,Monday,0
2013-11-25,18260,Monday,0
2017-02-20,17435,Monday,0
2017-02-06,17584,Monday,0
2014-05-19,22323,Monday,0
2016-08-08,25392,Monday,0
2013-11-18,18251,Monday,0
2017-02-13,17580,Monday,0
2014-05-26,22496,Monday,0
2016-08-01,25351,Monday,0
2014-06-02,23934,Monday,0
2016-08-15,25389,Monday,0
2016-01-18,15100,Monday,0
2016-11-21,23692,Monday,0
2015-11-16,21942,Monday,0
2013-04-01,18204,Monday,0
2015-05-11,23295,Monday,0
2015-03-09,18575,Monday,0
2015-10-26,20188,Monday,0
2015-08-17,23547,Monday,0
2015-03-02,18676,Monday,0
2017-09-25,24796,Monday,0
2015-05-18,23409,Monday,0
2013-04-08,18005,Monday,0
2015-11-02,21871,Monday,0
2013-02-04,12998,Monday,0
2017-11-27,24427,Monday,0
2015-02-23,15493,Monday,0
2015-11-09,21544,Monday,0
2017-09-18,24575,Monday,0
2013-04-15,18080,Monday,0
2015-08-10,23336,Monday,0
2015-05-25,23434,Monday,0
2015-02-16,15509,Monday,0
2015-04-20,21693,Monday,0
2013-01-28,11848,Monday,0
2017-09-11,24645,Monday,0
2013-04-22,18415,Monday,0
2017-12-04,17382,Monday,0
2015-02-09,15756,Monday,0
2015-11-23,21653,Monday,0
2015-08-03,23701,Monday,0
