date,store,sales
2013-01-01,1,1316
2013-01-01,2,1742
2013-01-01,3,1588
2013-01-01,4,1423
2013-01-01,5,1032
2013-01-01,6,1099
2013-01-01,7,964
2013-01-01,8,1628
2013-01-01,9,1383
2013-01-01,10,1521
2013-01-02,1,1264
2013-01-02,2,1808
2013-01-02,3,1538
2013-01-02,4,1432
2013-01-02,5,997
2013-01-02,6,1023
2013-01-02,7,944
2013-01-02,8,1687
2013-01-02,9,1455
2013-01-02,10,1530
2013-01-03,1,1305
2013-01-03,2,1887
2013-01-03,3,1635
2013-01-03,4,1534
2013-01-03,5,1130
2013-01-03,6,1149
2013-01-03,7,966
2013-01-03,8,1736
2013-01-03,9,1492
2013-01-03,10,1654
2013-01-04,1,1452
2013-01-04,2,1983
2013-01-04,3,1741
2013-01-04,4,1685
2013-01-04,5,1258
2013-01-04,6,1201
2013-01-04,7,1040
2013-01-04,8,1966
2013-01-04,9,1612
2013-01-04,10,1739
2013-01-05,1,1499
2013-01-05,2,2087
2013-01-05,3,1887
2013-01-05,4,1649
2013-01-05,5,1154
2013-01-05,6,1286
2013-01-05,7,1131
2013-01-05,8,2005
2013-01-05,9,1698
2013-01-05,10,1841
2013-01-06,1,1613
2013-01-06,2,2206
2013-01-06,3,1956
2013-01-06,4,1927
2013-01-06,5,1265
2013-01-06,6,1359
2013-01-06,7,1193
2013-01-06,8,2085
2013-01-06,9,1781
2013-01-06,10,1906
2013-01-07,1,1012
2013-01-07,2,1496
2013-01-07,3,1313
2013-01-07,4,1268
2013-01-07,5,868
2013-01-07,6,908
2013-01-07,7,790
2013-01-07,8,1577
2013-01-07,9,1212
2013-01-07,10,1325
2013-01-08,1,1228
2013-01-08,2,1800
2013-01-08,3,1538
2013-01-08,4,1431
2013-01-08,5,992
2013-01-08,6,1002
2013-01-08,7,932
2013-01-08,8,1665
2013-01-08,9,1444
2013-01-08,10,1528
2013-01-09,1,1243
2013-01-09,2,1786
2013-01-09,3,1633
2013-01-09,4,1471
2013-01-09,5,1045
2013-01-09,6,1025
2013-01-09,7,979
