year,store,sales
2013,1,717840
2013,2,1020238
2013,3,903936
2013,4,835059
2013,5,603783
2013,6,604373
2013,7,552223
2013,8,974655
2013,9,835788
2013,10,893348
2014,1,826786
2014,2,1171797
2014,3,1040520
2014,4,959205
2014,5,695599
2014,6,695214
2014,7,635978
2014,8,1121897
2014,9,961779
2014,10,1026707
2015,1,861710
2015,2,1222184
2015,3,1086103
2015,4,1002730
2015,5,725342
2015,6,725917
2015,7,664267
2015,8,1171046
2015,9,1006021
2015,10,1071567
2016,1,937493
2016,2,1329523
2016,3,1180619
2016,4,1088195
2016,5,789271
2016,6,786299
2016,7,720382
2016,8,1270695
2016,9,1090831
2016,10,1163852
2017,1,971774
2017,2,1376386
2017,3,1223966
2017,4,1127450
2017,5,817021
2017,6,815867
2017,7,747159
2017,8,1317876
2017,9,1131557
2017,10,1204684
